username,image,label,description
tanaya,https://picsum.photos/id/21/200/300,shoes,
medha,https://picsum.photos/id/319/200/300,jacket,"denim and fleece jacket"
dina,https://picsum.photos/id/338/200/300,hoodie,"speckled dark gray sporty hoodie"
annie,https://picsum.photos/id/325/200/300,dress,"white dress"
tanaya,https://picsum.photos/id/342/200/300,scarf,"blue patterened infinity scarf"
medha,https://picsum.photos/id/361/200/300,shoes,"brown leather ankle boots"
dina,https://picsum.photos/id/375/200/300,hoodie,"gray sporty hoodie"
annie,https://picsum.photos/id/389/200/300,shoes,"black shoes"
tanaya,https://picsum.photos/id/399/200/300,dress,"red and white plaid dress with belt"
medha,https://picsum.photos/id/447/200/300,shirt,"black long sleeved shirt with white accent"
dina,https://picsum.photos/id/454/200/300,sweater,"cream colored ribbed sweater"
annie,https://picsum.photos/id/455/200/300,shoes,"brown hiking boots"
tanaya,https://picsum.photos/id/473/200/300,pants,"black pants"
medha,https://picsum.photos/id/513/200/300,sweater,"brown collared sweater"
dina,https://picsum.photos/id/604/200/300,shoes,"dark brown boots with heels"
annie,https://picsum.photos/id/628/200/300,shirt,"light blue button down shirt"
tanaya,https://picsum.photos/id/64/200/300,shirt,"white short sleeve top"
medha,https://picsum.photos/id/656/200/300,dress,"white beach dress"
dina,https://picsum.photos/id/660/200/300,sweater,"sage green long sleeve sweater"
annie,https://picsum.photos/id/661/200/300,jacket,"dark blue long jacket"
tanaya,https://picsum.photos/id/662/200/300,shoes,
medha,https://picsum.photos/id/665/200/300,shirt,
dina,https://picsum.photos/id/669/200/300,jacket,"tan colored jacket with hood"
annie,https://picsum.photos/id/778/200/300,skirt,"light blue short skirt"
tanaya,https://picsum.photos/id/777/200/300,shirt,"white cropped camisole"
medha,https://picsum.photos/id/786/200/300,jacket,"deep blue raincoat"
dina,https://picsum.photos/id/804/200/300,jacket,"white short sleeve tee"
annie,https://picsum.photos/id/821/200/300,shirt,"white long sleeve cotton top"
tanaya,https://picsum.photos/id/823/200/300,shirt,"long sleeve denim button down shirt"
medha,https://picsum.photos/id/832/200/300,shirt,"baby blue long sleeve blouse"
dina,https://picsum.photos/id/836/200/300,jacket,"gray midlength blazer"
annie,https://picsum.photos/id/856/200/300,jacket,"black blazer"
tanaya,https://picsum.photos/id/858/200/300,pants,"dark brown boots"
medha,https://picsum.photos/id/863/200/300,sweater,"gray long sleeve sweater"
dina,https://picsum.photos/id/883/200/300,sweater,"black waterproof jacket"
